Inputs/input_file,State,Success
intensity_uint8_s5_t12_x11_y10,ok,True
intensity_uint8_s5_t13_z12_x11_y10,ok,True
intensity_uint8_s5_x11_y10,ok,True
intensity_uint8_s5_z12_x11_y10,ok,True
intensity_uint8_t12_x11_y10,ok,True
intensity_uint8_t13_z12_x11_y10,ok,True
intensity_uint8_t1_c3_q13_z12_x11_y10,ok,True
intensity_uint8_t1_s1_q13_z12_x11_y10,ok,True
intensity_uint8_t1_s1_z1_q12_x11_y10,ok,True
intensity_uint8_t1_s5_q13_z12_x11_y10,ok,True
intensity_uint8_t1_z1_c3_q12_x11_y10,ok,True
intensity_uint8_t1_z1_s5_q12_x11_y10,ok,True
intensity_uint8_x11_y10,ok,True
intensity_uint8_y10_x11,ok,True
intensity_uint8_y10_x11_c3,ok,True
intensity_uint8_y10_x11_s5,ok,True
intensity_uint8_y10_x11_t12,ok,True
intensity_uint8_y10_x11_t12_c3,ok,True
intensity_uint8_y10_x11_t12_s5,ok,True
intensity_uint8_y10_x11_z12,ok,True
intensity_uint8_y10_x11_z12_c3,ok,True
intensity_uint8_y10_x11_z12_s5,ok,True
intensity_uint8_y10_x11_z12_t13,ok,True
intensity_uint8_y10_x11_z12_t13_c3,ok,True
intensity_uint8_y10_x11_z12_t13_s5,ok,True
intensity_uint8_z12_x11_y10,ok,True
intensity_uint8_z1_c3_q13_t12_x11_y10,ok,True
intensity_uint8_z1_s5_q13_t12_x11_y10,ok,True
intensity_float16_y10_x11,ok,True
intensity_float16_y10_x11_c3,ok,True
intensity_float16_y10_x11_s5,ok,True
intensity_float16_y10_x11_t12,ok,True
intensity_float16_y10_x11_t12_c3,ok,True
intensity_float16_y10_x11_t12_s5,ok,True
intensity_float16_y10_x11_z12,ok,True
intensity_float16_y10_x11_z12_c3,ok,True
intensity_float16_y10_x11_z12_s5,ok,True
intensity_float16_y10_x11_z12_t13,ok,True
intensity_float16_y10_x11_z12_t13_c3,ok,True
intensity_float16_y10_x11_z12_t13_s5,ok,True
intensity_float32_y10_x11,ok,True
intensity_float32_y10_x11_c3,ok,True
intensity_float32_y10_x11_s5,ok,True
intensity_float32_y10_x11_t12,ok,True
intensity_float32_y10_x11_t12_c3,ok,True
intensity_float32_y10_x11_t12_s5,ok,True
intensity_float32_y10_x11_z12,ok,True
intensity_float32_y10_x11_z12_c3,ok,True
intensity_float32_y10_x11_z12_s5,ok,True
intensity_float32_y10_x11_z12_t13,ok,True
intensity_float32_y10_x11_z12_t13_c3,ok,True
intensity_float32_y10_x11_z12_t13_s5,ok,True
intensity_multiseries1,ok,True
intensity_multiseries2,ok,True
intensity_uint16_y10_x11,ok,True
intensity_uint16_y10_x11_c3,ok,True
intensity_uint16_y10_x11_s5,ok,True
intensity_uint16_y10_x11_t12,ok,True
intensity_uint16_y10_x11_t12_c3,ok,True
intensity_uint16_y10_x11_t12_s5,ok,True
intensity_uint16_y10_x11_z12,ok,True
intensity_uint16_y10_x11_z12_c3,ok,True
intensity_uint16_y10_x11_z12_s5,ok,True
intensity_uint16_y10_x11_z12_t13,ok,True
intensity_uint16_y10_x11_z12_t13_c3,ok,True
intensity_uint16_y10_x11_z12_t13_s5,ok,True
intensity_uint8_c1_q14_t13_z12_x11_y10,ok,True
intensity_uint8_c1_t1_q13_z12_x11_y10,ok,True
intensity_uint8_c1_t1_z1_q12_x11_y10,ok,True
intensity_uint8_c1_z1_q13_t12_x11_y10,ok,True
intensity_uint8_c3_q12_x11_y10,ok,True
intensity_uint8_c3_q13_t12_x11_y10,ok,True
intensity_uint8_c3_q13_z12_x11_y10,ok,True
intensity_uint8_c3_q14_t13_z12_x11_y10,ok,True
intensity_uint8_c3_t12_x11_y10,ok,True
intensity_uint8_c3_t13_z12_x11_y10,ok,True
intensity_uint8_c3_x11_y10,ok,True
intensity_uint8_c3_z12_x11_y10,ok,True
intensity_uint8_q12_x11_y10,ok,True
intensity_uint8_q13_t12_x11_y10,ok,True
intensity_uint8_q13_z12_x11_y10,ok,True
intensity_uint8_q14_t13_z12_x11_y10,ok,True
intensity_uint8_q1_c1_t13_z12_x11_y10,ok,True
intensity_uint8_q1_c1_t1_z12_x11_y10,ok,True
intensity_uint8_q1_c1_t1_z1_x11_y10,ok,True
intensity_uint8_q1_c1_z1_t12_x11_y10,ok,True
intensity_uint8_q1_c3_t13_z12_x11_y10,ok,True
intensity_uint8_q1_s1_t13_z12_x11_y10,ok,True
intensity_uint8_q1_s1_z1_t12_x11_y10,ok,True
intensity_uint8_q1_s5_t13_z12_x11_y10,ok,True
intensity_uint8_q1_t1_c3_z12_x11_y10,ok,True
intensity_uint8_q1_t1_s1_z12_x11_y10,ok,True
intensity_uint8_q1_t1_s1_z1_x11_y10,ok,True
intensity_uint8_q1_t1_s5_z12_x11_y10,ok,True
intensity_uint8_q1_t1_z1_c3_x11_y10,ok,True
intensity_uint8_q1_t1_z1_s5_x11_y10,ok,True
intensity_uint8_q1_z1_c3_t12_x11_y10,ok,True
intensity_uint8_q1_z1_s5_t12_x11_y10,ok,True
intensity_uint8_s1_q14_t13_z12_x11_y10,ok,True
intensity_uint8_s1_z1_q13_t12_x11_y10,ok,True
intensity_uint8_s5_q12_x11_y10,ok,True
intensity_uint8_s5_q13_t12_x11_y10,ok,True
intensity_uint8_s5_q13_z12_x11_y10,ok,True
intensity_uint8_s5_q14_t13_z12_x11_y10,ok,True
