Tested Tools,Success Rate,,Untested Tools,Spuriously Tested Tools
2d_auto_threshold/ip_threshold,0.7596153846153846,,2d_filter_segmentation_by_features/ip_2d_filter_segmentation_by_features,graphicsmagick_image_convert/graphicsmagick_image_convert
2d_feature_extraction/ip_2d_feature_extraction,0.7692307692307693,,Wound healing scratch assay image analysis/woundhealing_scratch_assay,imagej2_adjust_threshold_binary/imagej2_adjust_threshold_binary
2d_histogram_equalization/ip_histogram_equalization,0.7884615384615384,,bia_download/bia_download,
2d_simple_filter/ip_filter_standard,0.8846153846153846,,bioformats2raw/bf2raw,
anisotropic_diffusion/ip_anisotropic_diffusion,1.0,,bioimage_inference/bioimage_inference,
background_removal/background_removal,0.9711538461538461,,cellprofiler/cp_cellprofiler,
bfconvert/ip_convertimage,1.0,,cellprofiler/cp_color_to_gray,
binary2labelimage/ip_binary_to_labelimage,0.057692307692307696,,cellprofiler/cp_common,
binaryimage2points/ip_binaryimage_to_points,0.2692307692307692,,cellprofiler/cp_convert_objects_to_image,
cellpose/cellpose,0.20192307692307693,,cellprofiler/cp_display_data_on_image,
colorize_labels/colorize_labels,0.7596153846153846,,cellprofiler/cp_enhance_or_suppress_features,
coordinates_of_roi/ip_coordinates_of_roi,0.7788461538461539,,cellprofiler/cp_export_to_spreadsheet,
count_objects/ip_count_objects,0.7019230769230769,,cellprofiler/cp_gray_to_color,
graphicsmagick_image_convert/graphicsmagick_image_convert,1.0,,cellprofiler/cp_identify_primary_objects,
image_info/ip_imageinfo,1.0,,cellprofiler/cp_image_math,
image_math/image_math,1.0,,cellprofiler/cp_mask_image,
imagej2_adjust_threshold_binary/imagej2_adjust_threshold_binary,0.8269230769230769,,cellprofiler/cp_measure_granularity,
label_to_binary/label_to_binary,1.0,,cellprofiler/cp_measure_image_area_occupied,
labelimage2points/ip_labelimage_to_points,0.7596153846153846,,cellprofiler/cp_measure_image_intensity,
morphological_operations/morphological_operations,0.9038461538461539,,cellprofiler/cp_measure_image_quality,
orientationpy/orientationpy,0.75,,cellprofiler/cp_measure_object_intensity,
scale_image/ip_scale_image,0.1346153846153846,,cellprofiler/cp_measure_object_size_shape,
split_labelmap/ip_split_labelmap,0.6730769230769231,,cellprofiler/cp_measure_texture,
,,,cellprofiler/cp_overlay_outlines,
,,,cellprofiler/cp_relate_objects,
,,,cellprofiler/cp_save_images,
,,,cellprofiler/cp_tile,
,,,cellprofiler/cp_track_objects,
,,,cellprofiler4/cp_cellprofiler4,
,,,color_deconvolution/ip_color_deconvolution,
,,,concat_channels/ip_concat_channels,
,,,curve_fitting/ip_curve_fitting,
,,,detection_viz/ip_detection_viz,
,,,graphicsmagick/graphicsmagick_image_compare,
,,,graphicsmagick/graphicsmagick_image_convert,
,,,graphicsmagick/graphicsmagick_image_montage,
,,,hyperstack_to_bleach_corrected_movie/hyperstack_to_bleach_corrected_movie,
,,,image_registration_affine/ip_image_registration,
,,,imagecoordinates_flipaxis/imagecoordinates_flipaxis,
,,,imagej2/imagej2_adjust_threshold_binary,
,,,imagej2/imagej2_analyze_particles_binary,
,,,imagej2/imagej2_analyze_skeleton,
,,,imagej2/imagej2_binary_to_edm,
,,,imagej2/imagej2_bunwarpj_adapt_transform,
,,,imagej2/imagej2_bunwarpj_align,
,,,imagej2/imagej2_bunwarpj_compare_elastic,
,,,imagej2/imagej2_bunwarpj_compare_elastic_raw,
,,,imagej2/imagej2_bunwarpj_compare_raw,
,,,imagej2/imagej2_bunwarpj_compose_elastic,
,,,imagej2/imagej2_bunwarpj_compose_raw,
,,,imagej2/imagej2_bunwarpj_compose_raw_elastic,
,,,imagej2/imagej2_bunwarpj_convert_to_raw,
,,,imagej2/imagej2_bunwarpj_elastic_transform,
,,,imagej2/imagej2_bunwarpj_raw_transform,
,,,imagej2/imagej2_create_image,
,,,imagej2/imagej2_crop,
,,,imagej2/imagej2_enhance_contrast,
,,,imagej2/imagej2_filter,
,,,imagej2/imagej2_find_edges,
,,,imagej2/imagej2_find_maxima,
,,,imagej2/imagej2_make_binary,
,,,imagej2/imagej2_math,
,,,imagej2/imagej2_noise,
,,,imagej2/imagej2_shadows,
,,,imagej2/imagej2_sharpen,
,,,imagej2/imagej2_skeletonize3d,
,,,imagej2/imagej2_smooth,
,,,imagej2/imagej2_watershed_binary,
,,,incucyte_stack_and_upload_omero/incucyte_stack_and_upload_omero,
,,,landmark_registration/ip_landmark_registration,
,,,mahotas_features/ip_mahotas_features,
,,,max_projections_stack_and_upload_omero/max_projections_stack_and_upload_omero,
,,,measure_gastruloids/measureGastruloids,
,,,mergeneighboursinlabelimage/ip_merge_neighbours_in_label,
,,,omero_clean_rois_tables/omero_clean_rois_tables,
,,,omero_get_children_ids/omero_get_children_ids,
,,,omero_get_full_images/omero_get_full_images,
,,,omero_hyperstack_to_fluo_measurements_on_gastruloid/omero_hyperstack_to_fluo_measurements_on_gastruloid,
,,,omero_hyperstack_to_gastruloid_measurements/omero_hyperstack_to_gastruloid_measurements,
,,,omero_upload/omero_dataset_to_plate,
,,,omero_upload/omero_filter,
,,,omero_upload/omero_get_id,
,,,omero_upload/omero_get_value,
,,,omero_upload/omero_import,
,,,omero_upload/omero_metadata_import,
,,,omero_upload/omero_roi_import,
,,,overlay_images/ip_overlay_images,
,,,permutate_axis/ip_permutate_axis,
,,,plantseg/plantseg,
,,,points2labelimage/ip_points_to_label,
,,,points_association_nn/ip_points_association_nn,
,,,projective_transformation/ip_projective_transformation,
,,,projective_transformation_points/ip_projective_transformation_points,
,,,qupath_roi_splitter/qupath_roi_splitter,
,,,repeat_channels/repeat_channels,
,,,rfove/rfove,
,,,segmetrics/ip_segmetrics,
,,,slice_image/ip_slice_image,
,,,split_image/ip_split_image,
,,,spot_detection_2d/ip_spot_detection_2d,
,,,spyboat/spyboat,
,,,superdsm/ip_superdsm,
,,,upload_roi_and_measures_to_omero/uploadROIandMeasuresToOMERO,
,,,visceral_evaluatesegmentation/ip_visceral_evaluatesegmentation,
,,,voronoi_tesselation/voronoi_tessellation,
,,,wsi_extract_top_view/ip_wsi_extract_top_view,
